STEP 0; EVENT position; UNIT rover-1; POSITION [26,21]
STEP 1; EVENT position; UNIT rover-1; POSITION [26,22]
STEP 2; EVENT position; UNIT rover-1; POSITION [26,21]
STEP 3; EVENT position; UNIT rover-1; POSITION [27,21]
STEP 4; EVENT position; UNIT rover-1; POSITION [27,20]
STEP 5; EVENT position; UNIT rover-1; POSITION [26,19]
STEP 6; EVENT position; UNIT rover-1; POSITION [25,19]
STEP 7; EVENT position; UNIT rover-1; POSITION [26,20]
STEP 8; EVENT position; UNIT rover-1; POSITION [27,21]
STEP 9; EVENT position; UNIT rover-1; POSITION [26,20]
STEP 10; EVENT position; UNIT rover-1; POSITION [26,19]
STEP 11; EVENT position; UNIT rover-1; POSITION [26,18]
STEP 12; EVENT position; UNIT rover-1; POSITION [26,17]
STEP 13; EVENT position; UNIT rover-1; POSITION [25,18]
STEP 14; EVENT position; UNIT rover-1; POSITION [26,19]
STEP 15; EVENT position; UNIT rover-1; POSITION [26,18]
STEP 16; EVENT position; UNIT rover-1; POSITION [25,18]
STEP 17; EVENT position; UNIT rover-1; POSITION [26,19]
STEP 18; EVENT position; UNIT rover-1; POSITION [26,20]
STEP 19; EVENT position; UNIT rover-1; POSITION [25,21]
STEP 20; EVENT position; UNIT rover-1; POSITION [26,20]
STEP 21; EVENT position; UNIT rover-1; POSITION [26,19]
STEP 22; EVENT position; UNIT rover-1; POSITION [27,20]
STEP 23; EVENT position; UNIT rover-1; POSITION [26,21]
STEP 24; EVENT position; UNIT rover-1; POSITION [27,22]
STEP 25; EVENT position; UNIT rover-1; POSITION [28,22]
STEP 26; EVENT position; UNIT rover-1; POSITION [27,21]
STEP 27; EVENT position; UNIT rover-1; POSITION [27,22]
STEP 28; EVENT position; UNIT rover-1; POSITION [26,22]
STEP 29; EVENT position; UNIT rover-1; POSITION [25,21]
STEP 30; EVENT position; UNIT rover-1; POSITION [24,21]
STEP 31; EVENT position; UNIT rover-1; POSITION [23,20]
STEP 32; EVENT position; UNIT rover-1; POSITION [22,19]
STEP 33; EVENT position; UNIT rover-1; POSITION [22,20]
STEP 34; EVENT position; UNIT rover-1; POSITION [21,19]
STEP 35; EVENT position; UNIT rover-1; POSITION [22,18]
STEP 36; EVENT position; UNIT rover-1; POSITION [22,19]
STEP 37; EVENT position; UNIT rover-1; POSITION [22,18]
STEP 38; EVENT position; UNIT rover-1; POSITION [21,19]
STEP 39; EVENT position; UNIT rover-1; POSITION [20,18]
STEP 40; EVENT position; UNIT rover-1; POSITION [19,17]
STEP 41; EVENT position; UNIT rover-1; POSITION [18,17]
STEP 42; EVENT position; UNIT rover-1; POSITION [17,17]
STEP 43; EVENT position; UNIT rover-1; POSITION [16,16]
STEP 44; EVENT position; UNIT rover-1; POSITION [23,21]
STEP 44; EVENT outcome; OUTCOME COLONIZABLE
